log name	QR[raw data]:	QR[count]	QR[total_time]	AR[pixelperM]	AR[count]	AR[total_time]	AR[target_pos]	AR[target_point(xy plane)]	AR[Robot Position]	x_error	y_error	total_error	PointA_time	Snapshot_time	Mission_time	
"moved a adjust offset v3 t5"	" {"p":2,"x":11.08,"y":-9.80,"z":5.28}"	"  5"	"  27365"	" 709.0144242493149"	" 1"	"  7555"	" 0.18638997806471796, -0.4879540519192406"	" 0.785, -0.3939540519192406"	" 11.14438997806472, -33.91688695771236"	-0.021987969000000003	-0.3866696500000001	0.38755264999999994	01:03.056000	01:36.816000	02:36.344000
"moved a adjust offset v3 t7"	" {"p":7,"x":11.27,"y":-9.80,"z":5.44}"	"  3"	"  10732"	" 709.8601426205017"	" 1"	"  10428"	" 0.15017539465669522, -0.4534494465254426"	" 0.785, -0.35944944652544264"	" 11.108175394656696, -31.99623889646169"	0.037173888	-0.23373755200000002	0.23687376699999999	00:44.640000	01:18.008000	02:08.424000
"adjust fallback qr size p1 t1"	" {"p":1,"x":11.27,"y":-9.80,"z":5.28}"	"  2"	"  13177"	" 710.6566513976953"	" 1"	"  6145"	" 0.17973439402167224, -0.47132718286190634"	" 0.785, -0.37732718286190636"	" 11.137734394021672, -33.00076670287874"	-0.042322012000000006	-0.146355437	0.153058767	00:44.544000	01:11.232000	02:00.160000
"adjust fallback qr size p1 t2"	" {"p":2,"x":11.10,"y":-9.80,"z":5.27}"	"  1"	"  7057"	" 693.9785663190697"	" 1"	"  11580"	" 0.12022425464841464, -0.4641298014349643"	" 0.785, -0.3701298014349643"	" 11.078224254648415, -32.59877996546516"	-6.2128152299999995	-1.3544756919999998	6.358797349999999	00:35.320000	01:07.616000	01:56.712000
"adjust fallback qr size p1 t3"	" {"p":4,"x":11.07,"y":-9.80,"z":5.28}"	"  3"	"  13344"	" 706.3893022181197"	" 1"	"  11203"	" 0.18514633835840055, -0.4907774051275102"	" 0.785, -0.39677740512751025"	" 11.1431463383584, -34.07071328963589"	-0.129132695	-0.5061401809999999	0.52321749	00:43.632000	01:17.184000	02:07.264000
"adjust fallback qr size p2 t1"	" {"p":2,"x":11.10,"y":-9.80,"z":5.27}"	"  1"	"  6125"	" 691.0819141405535"	" 1"	"  4628"	" 0.09473909766637678, -0.481200415774896"	" 0.785, -0.38720041577489595"	" 11.052739097666377, -33.54687863749746"	-8.593709792999999	-2.1956726630000003	8.869822824	00:34.864000	01:00.464000	01:51.336000
"adjust fallback qr size p2 t2"	" {"p":2,"x":11.09,"y":-9.80,"z":5.24}"	"  1"	"  7107"	" 707.1816911223278"	" 1"	"  7347"	" 0.18937743588716244, -0.4614097530750937"	" 0.785, -0.3674097530750937"	" 11.147377435887163, -32.44600880537395"	0.24538060699999997	-0.593613771	0.642362999	00:37.392000	01:05.936000	01:56.712000
"adjust fallback qr size p2 t3"	" {"p":2,"x":11.08,"y":-9.80,"z":5.25}"	"  4"	"  13268"	" 709.3296708266486"	" 1"	"  9341"	" 0.19548932425121773, -0.4350751506697437"	" 0.785, -0.3410751506697437"	" 11.153489324251218, -30.942851116511743"	0.037645943	-0.4502664160000001	0.452344051	00:43.112000	01:14.696000	02:04.688000
"adjust fallback qr size p3 t1"	" {"p":3,"x":11.03,"y":-9.80,"z":5.21}"	"  2"	"  9258"	" 691.3167469007261"	" 1"	"  5035"	" 0.11649536158067006, -0.496452976736205"	" 0.785, -0.40245297673620495"	" 11.07449536158067, -34.37841264780059"	-6.9727106679999995	-1.6745251869999997	7.171014907	00:40.904000	01:06.200000	01:55.240000
"adjust fallback qr size p4 t1"	" {"p":4,"x":11.11,"y":-9.80,"z":5.26}"	"  1"	"  6085"	" 707.6692857195543"	" 1"	"  6484"	" 0.19509655931026446, -0.46093636728132664"	" 0.785, -0.3669363672813266"	" 11.153096559310265, -32.41937346652603"	0.104253436	-0.500788784	0.51216935	00:39.928000	01:07.808000	01:57.864000
"adjust fallback qr size p4 t2"	" {"p":4,"x":11.08,"y":-9.80,"z":5.26}"	"  4"	"  20841"	" 711.7642868792371"	" 1"	"  10967"	" 0.1870956838173776, -0.4869408256744674"	" 0.785, -0.3929408256744674"	" 11.14509568381738, -33.86155980297408"	0.038158203	-0.187347868	0.19273558200000002	00:54.816000	01:26.832000	02:18.184000
"adjust fallback qr size p5 t1"	" {"p":5,"x":11.07,"y":-9.80,"z":5.49}"	"  2"	"  13347"	" 710.4359330171952"	" 1"	"  5852"	" 0.19431323426386243, -0.4627366817429753"	" 0.785, -0.36873668174297525"	" 11.152313234263863, -32.52059390151412"	0.257855424	-0.452820209	0.521123934	00:44.080000	01:14.752000	02:04.280000
"adjust fallback qr size p5 t2"	" {"p":5,"x":11.06,"y":-9.80,"z":5.43}"	"  3"	"  11093"	" 712.955769405428"	" 1"	"  12153"	" 0.12617204801373608, -0.423392875796359"	" 0.785, -0.329392875796359"	" 11.084172048013738, -30.26212991157056"	-1.981057805	-0.135144925	1.9857655420000004	00:40.120000	01:12.648000	02:03.232000
"adjust fallback qr size p6 t1"	" {"p":6,"x":11.11,"y":-9.80,"z":5.44}"	"  5"	"  21805"	" 707.8940476790957"	" 1"	"  5853"	" 0.2169347230243044, -0.4316687044958145"	" 0.785, -0.33766870449581454"	" 11.174934723024306, -30.745237776973482"	0.21479611599999998	-0.5017169500000002	0.5461188029999999	00:49.704000	01:18.448000	02:07.352000
"adjust fallback qr size p6 t2"	" {"p":6,"x":11.06,"y":-9.80,"z":5.46}"	"  3"	"  10820"	" 711.00882424401"	" 1"	"  4771"	" 0.1531080727607658, -0.4251239180731775"	" 0.785, -0.33112391807317754"	" 11.111108072760766, -30.363533391513027"	0.30027971100000006	0.09344152300000001	0.3170154399999999	00:38.704000	01:04.104000	01:53.416000
"adjust fallback qr size p7 t1"	" {"p":7,"x":11.31,"y":-9.80,"z":5.45}"	"  4"	"  14985"	" 706.0706224132981"	" 1"	"  7962"	" 0.19030408267316037, -0.4631590663497163"	" 0.785, -0.3691590663497163"	" 11.14830408267316, -32.544312332661015"	0.21952757900000003	-0.562375234	0.6038000789999999	00:44.776000	01:14.896000	02:04.864000
"adjust fallback qr size p7 t2"	" {"p":7,"x":11.33,"y":-9.80,"z":5.47}"	"  2"	"  8390"	" 708.3163346601078"	" 1"	"  4173"	" 0.21926788911536665, -0.464599765390399"	" 0.785, -0.37059976539039896"	" 11.177267889115367, -32.625128124798074"	0.08892473299999999	-0.549201188	0.556642263	00:38.288000	01:03.040000	01:53.136000
"adjust fallback qr size p8 t1"	" {"p":8,"x":11.24,"y":-9.80,"z":5.24}"	"  2"	"  8672"	" 705.7785691949938"	" 1"	"  4349"	" 0.09793052213639752, -0.4736079597263858"	" 0.785, -0.37960795972638584"	" 11.055930522136398, -33.12746931834735"	-4.431220258000001	-0.8176944310000002	4.506091711999999	00:41.224000	01:08.568000	02:00.960000
"adjust fallback qr size prd t2"	" {"p":7,"x":11.25,"y":-9.80,"z":5.41}"	"  3"	"  13767"	" 712.1203507167048"	" 1"	"  7583"	" 0.16029178383389675, -0.42134316558247636"	" 0.785, -0.32734316558247634"	" 11.118291783833897, -30.14181836136006"	-0.107378361	-0.035511801	0.11351978700000001	00:43.528000	01:11.184000	02:01.888000
"adjust fallback qr size prd t3"	" {"p":2,"x":11.03,"y":-9.80,"z":5.25}"	"  2"	"  8610"	" 715.2036941766188"	" 1"	"  7967"	" 0.14940239075202638, -0.46336206694996085"	" 0.785, -0.3693620669499609"	" 11.107402390752027, -32.55570754873665"	-0.048103761	0.26257462000000004	0.2670947249999999	00:40.472000	01:08.040000	01:56.056000
"adjust fallback qr size prd t4"	" {"p":8,"x":11.28,"y":-9.80,"z":5.27}"	"  2"	"  14234"	" 710.1563920057357"	" 1"	"  7026"	" 0.15368463412179878, -0.4532911452199241"	" 0.785, -0.3592911452199241"	" 11.111684634121799, -31.987254142723287"	0.205397367	-0.07391425700000001	0.220069255	00:43.792000	01:13.864000	02:02.248000
